Alabama	0.0014492818	-0.0000028624	0.0758375160
Alaska	0.0008648511	-0.0000040459	0.0582638024
Arizona	0.0015912527	-0.0000055463	0.0792229143
Arkansas	0.0011078586	0.0000007437	0.0666583303
California	0.0014841496	-0.0000046388	0.0765661702
Colorado	0.0015410848	-0.0000054949	0.0779513958
Connecticut	0.0012221787	-0.0000039275	0.0694685178
Delaware	0.0012720799	-0.0000055928	0.0707024430
District of Columbia	0.0021684704	-0.0000081924	0.0924272837
Florida	0.0017909034	-0.0000052698	0.0841385574
Georgia	0.0018027292	-0.0000035309	0.0845838158
Hawaii	0.0020185283	-0.0000093832	0.0890167509
Idaho	0.0017792582	-0.0000080880	0.0835920162
Illinois	0.0014155133	-0.0000026539	0.0749639342
Indiana	0.0016041618	-0.0000058277	0.0795198393
Iowa	0.0011444549	-0.0000036439	0.0672273572
Kansas	0.0011304965	-0.0000018762	0.0670221326
Kentucky	0.0010438023	-0.0000018446	0.0643870789
Louisiana	0.0013014232	-0.0000013421	0.0720015237
Maine	0.0016081922	-0.0000065167	0.0795518804
Maryland	0.0014398384	-0.0000052662	0.0753332191
Massachusetts	0.0012922015	-0.0000043820	0.0714051428
Michigan	0.0016948378	-0.0000066917	0.0816840517
Minnesota	0.0012452053	-0.0000037794	0.0701452125
Mississippi	0.0013597369	-0.0000036736	0.0733496405
Missouri	0.0014032504	-0.0000025215	0.0746502363
Montana	0.0014704516	-0.0000053926	0.0761283420
Nebraska	0.0009654376	-0.0000019489	0.0618915766
Nevada	0.0011791569	-0.0000057561	0.0680039000
New Hampshire	0.0012214275	-0.0000057416	0.0692375971
New Jersey	0.0015098349	-0.0000050322	0.0771934216
New Mexico	0.0011932183	-0.0000041884	0.0685992647
New York	0.0019942229	-0.0000035928	0.0889910476
North Carolina	0.0017043985	-0.0000038317	0.0821966384
North Dakota	0.0012013565	-0.0000050361	0.0687375357
Ohio	0.0014143934	-0.0000034908	0.0748446463
Oklahoma	0.0014282049	-0.0000043373	0.0751227229
Oregon	0.0014579965	-0.0000046635	0.0758773343
Pennsylvania	0.0016179559	-0.0000031224	0.0801365395
Rhode Island	0.0012214450	-0.0000044309	0.0693893751
South Carolina	0.0016621169	-0.0000023223	0.0813099647
South Dakota	0.0009708400	-0.0000014799	0.0621263345
Tennessee	0.0015484756	-0.0000033199	0.0783631508
Texas	0.0017850632	-0.0000037378	0.0841453970
Utah	0.0010177691	-0.0000030191	0.0634253184
Vermont	0.0014552468	-0.0000056676	0.0756987854
Virginia	0.0013410729	-0.0000037298	0.0728327865
Washington	0.0012414713	-0.0000014586	0.0703032521
West Virginia	0.0019176092	-0.0000088269	0.0867710028
Wisconsin	0.0011939453	-0.0000034157	0.0687104772
Wyoming	0.0014253048	-0.0000061821	0.0748485548
