op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
ADD,789,163840.0,0.17986383,-0.0036975623,0.33990422,0.032364666,0.68531185,34,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_1/BiasAdd
RESHAPE,802,163840.0,0.054147672,-0.011053502,0.114938736,0.0030541497,0.25261277,-124,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_2/Tensordot/Reshape
FULLY_CONNECTED,806,163840.0,0.35990787,-0.0007533729,0.8566437,0.12953424,1.1192465,42,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_2/Tensordot/MatMul1
RESHAPE,810,163840.0,0.0,0.0,0.0,0.0,1.1192465,42,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_2/Tensordot
ADD,814,163840.0,0.25889868,0.11755898,0.5436783,0.08084865,1.119554,42,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_2/BiasAdd
RESHAPE,827,163840.0,0.09219672,-0.093179695,0.17630768,0.01718269,0.37906164,-125,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_3/Tensordot/Reshape
FULLY_CONNECTED,831,327680.0,0.6528435,0.08938743,1.2289543,0.43419462,2.2236886,83,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_3/Tensordot/MatMul1
RESHAPE,835,327680.0,0.0,0.0,0.0,0.0,2.2236886,83,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_3/Tensordot
ADD,839,327680.0,0.31976384,-0.33011085,1.0000076,0.21122213,2.2209282,83,pf_net_dense/cg_id_0/cg_id_0_ffn_dist/cg_id_0_ffn_dist_dense_3/BiasAdd
FULLY_CONNECTED,845,2560.0,0.0,0.0056322813,0.0056322813,3.1722593e-05,0.258158,0,pf_net_dense/cg_id_0/message_building_layer_lsh/MatMul1
GATHER,865,327680.0,0.11572938,-0.061361782,0.1830101,0.017158566,0.3871687,-125,pf_net_dense/cg_id_0/message_building_layer_lsh/GatherV2;pf_net_dense/Const_1
GATHER,869,2560.0,0.0,0.0,0.0,0.0,0.003921569,-128,pf_net_dense/cg_id_0/message_building_layer_lsh/GatherV2_2;pf_net_dense/Const_1
MUL,873,327680.0,0.0,0.0,0.0,0.0,0.3871687,-125,pf_net_dense/cg_id_0/message_building_layer_lsh/cg_id_0_kernel/mul
SUM,879,2560.0,0.0,0.0,0.0,0.0,282.03314,-128,Sum
EXPAND_DIMS,883,2560.0,0.0,0.0,0.0,0.0,282.03314,-128,ExpandDims
BATCH_MATMUL,887,655360.0,0.0,0.0,0.0,0.0,290.05447,-121,MatMul
EXPAND_DIMS,891,2560.0,0.0,0.0,0.0,0.0,282.03314,-128,ExpandDims_1
MUL,895,655360.0,0.0,0.0,0.0,0.0,580.10895,-121,mul
SUB,899,655360.0,0.0,0.0,0.0,0.0,570.99115,-2,sub
ADD,903,655360.0,0.0,0.0,0.0,0.0,398.93756,-128,add1
MAXIMUM,907,655360.0,2.2737368e-13,-1.0000002e-06,1.0000001e-06,9.999993e-13,398.93756,-128,Maximum
EXPAND_DIMS,913,655360.0,0.0,0.0,0.0,0.0,1.2507842,-128,pf_net_dense/cg_id_0/message_building_layer_lsh/cg_id_0_kernel/ExpandDims
BROADCAST_TO,919,655360.0,0.0,0.0,0.0,0.0,1.2507842,-128,pf_net_dense/cg_id_0/message_building_layer_lsh/cg_id_0_kernel/mul_13
BROADCAST_TO,923,655360.0,0.0,7.450581e-09,7.450581e-09,5.551115e-17,0.00039215686,127,pf_net_dense/cg_id_0/message_building_layer_lsh/cg_id_0_kernel/mul_14
MUL,927,655360.0,0.0,0.0,0.0,0.0,0.12507841,127,pf_net_dense/cg_id_0/message_building_layer_lsh/cg_id_0_kernel/mul_15
EXP,931,655360.0,0.0,-0.000100016594,0.000100016594,1.000331e-08,0.0039211763,-128,pf_net_dense/cg_id_0/message_building_layer_lsh/cg_id_0_kernel/Exp
MINIMUM,935,655360.0,0.0,0.0,0.0,0.0,0.0039211763,-128,pf_net_dense/cg_id_0/message_building_layer_lsh/cg_id_0_kernel/clip_by_value/Minimum
RELU,939,655360.0,0.0,0.0,0.0,0.0,0.0039211763,-128,pf_net_dense/cg_id_0/message_building_layer_lsh/cg_id_0_kernel/clip_by_value
RESHAPE,946,2560.0,0.0,0.0,0.0,0.0,0.003921569,-128,pf_net_dense/cg_id_0/message_building_layer_lsh/Reshape
BROADCAST_TO,953,655360.0,0.0,0.0,0.0,0.0,0.0039211763,-128,pf_net_dense/cg_id_0/message_building_layer_lsh/Mul3
BROADCAST_TO,957,655360.0,0.0,0.0,0.0,0.0,0.003921569,-128,pf_net_dense/cg_id_0/message_building_layer_lsh/Mul4
MUL,961,655360.0,0.0,0.0,0.0,0.0,0.0039211763,-128,pf_net_dense/cg_id_0/message_building_layer_lsh/Mul5
RESHAPE,966,2560.0,0.0,0.0,0.0,0.0,0.003921569,-128,pf_net_dense/cg_id_0/message_building_layer_lsh/Reshape_1
BROADCAST_TO,973,655360.0,0.0,0.0,0.0,0.0,0.0039211763,-128,pf_net_dense/cg_id_0/message_building_layer_lsh/Mul_13
BROADCAST_TO,977,655360.0,0.0,0.0,0.0,0.0,0.003921569,-128,pf_net_dense/cg_id_0/message_building_layer_lsh/Mul_14
MUL,981,655360.0,0.0,0.0,0.0,0.0,0.0039211763,-128,pf_net_dense/cg_id_0/message_building_layer_lsh/Mul_15
RESHAPE,985,655360.0,0.0,0.0,0.0,0.0,0.0039211763,-128,pf_net_dense/cg_id_0/cg_id_0_msg_0/Squeeze
GATHER,989,655360.0,0.0,0.0,0.0,0.0,0.045345236,-103,pf_net_dense/cg_id_0/message_building_layer_lsh/GatherV2_1;pf_net_dense/Const_1
FULLY_CONNECTED,993,655360.0,0.1294673,-0.00046986496,0.30044022,0.016762018,0.4334493,8,pf_net_dense/cg_id_0/cg_id_0_msg_0/MatMul_3;pf_net_dense/cg_id_0/cg_id_0_msg_0/add
LOGISTIC,997,655360.0,0.0011587546,0.000103937826,0.003497541,1.3535157e-06,0.00390625,-128,pf_net_dense/cg_id_0/cg_id_0_msg_0/Sigmoid
SUB,1001,655360.0,0.0010322368,9.127078e-06,0.001960814,1.0655951e-06,0.003921569,-128,pf_net_dense/cg_id_0/cg_id_0_msg_0/sub
MUL,1005,655360.0,0.0,0.0,0.0,0.0,0.045345236,-103,pf_net_dense/cg_id_0/cg_id_0_msg_0/mul
FULLY_CONNECTED,1009,655360.0,0.0,0.0,0.0,0.0,0.35170838,-4,pf_net_dense/cg_id_0/cg_id_0_msg_0/MatMul1
MUL,1013,655360.0,0.0,0.0,0.0,0.0,0.35170838,-4,pf_net_dense/cg_id_0/cg_id_0_msg_0/mul_1
BATCH_MATMUL,1017,655360.0,0.0,0.0,0.0,0.0,0.64075977,5,pf_net_dense/cg_id_0/cg_id_0_msg_0/MatMul_1
MUL,1021,655360.0,0.0,0.0,0.0,0.0,0.43387547,66,pf_net_dense/cg_id_0/cg_id_0_msg_0/mul_3
FULLY_CONNECTED,1025,655360.0,0.0,0.0,0.0,0.0,0.34908587,5,pf_net_dense/cg_id_0/cg_id_0_msg_0/MatMul_21
MUL,1029,655360.0,0.0,0.0,0.0,0.0,0.30390307,-5,pf_net_dense/cg_id_0/cg_id_0_msg_0/mul_4
ADD,1033,655360.0,0.0,0.0,0.0,0.0,0.48851168,45,pf_net_dense/cg_id_0/cg_id_0_msg_0/add_1
MUL,1039,655360.0,0.0,0.0,0.0,0.0,0.16185725,-122,pf_net_dense/cg_id_0/cg_id_0_msg_0/mul_5
FULLY_CONNECTED,1043,655360.0,0.25581092,0.06992419,0.837216,0.07032858,1.7086235,-1,pf_net_dense/cg_id_0/cg_id_0_msg_1/MatMul_3;pf_net_dense/cg_id_0/cg_id_0_msg_1/add
LOGISTIC,1047,655360.0,0.00010746492,-1.1702185e-05,0.0009985864,1.1685643e-08,0.00390625,-128,pf_net_dense/cg_id_0/cg_id_0_msg_1/Sigmoid
SUB,1051,655360.0,0.0002753029,0.0019308341,0.001960814,3.8039175e-06,0.003921569,-128,pf_net_dense/cg_id_0/cg_id_0_msg_1/sub
MUL,1055,655360.0,0.0,0.0,0.0,0.0,0.16185725,-122,pf_net_dense/cg_id_0/cg_id_0_msg_1/mul
FULLY_CONNECTED,1059,655360.0,0.0,0.0,0.0,0.0,1.8471872,6,pf_net_dense/cg_id_0/cg_id_0_msg_1/MatMul1
MUL,1063,655360.0,0.0,0.0,0.0,0.0,1.8471872,6,pf_net_dense/cg_id_0/cg_id_0_msg_1/mul_1
BATCH_MATMUL,1067,655360.0,0.0,0.0,0.0,0.0,3.0981045,40,pf_net_dense/cg_id_0/cg_id_0_msg_1/MatMul_1
MUL,1071,655360.0,0.0,0.0,0.0,0.0,3.0981045,40,pf_net_dense/cg_id_0/cg_id_0_msg_1/mul_3
FULLY_CONNECTED,1075,655360.0,0.0,0.0,0.0,0.0,3.6218908,-38,pf_net_dense/cg_id_0/cg_id_0_msg_1/MatMul_21
MUL,1079,655360.0,0.0,0.0,0.0,0.0,2.7414806,-41,pf_net_dense/cg_id_0/cg_id_0_msg_1/mul_4
ADD,1083,655360.0,0.0,0.0,0.0,0.0,3.8470688,7,pf_net_dense/cg_id_0/cg_id_0_msg_1/add_1
MUL,1089,655360.0,0.0,0.0,0.0,0.0,1.8102516,-127,pf_net_dense/cg_id_0/cg_id_0_msg_1/mul_5
RESHAPE,1104,655360.0,0.0,0.0,0.0,0.0,1.8102516,-127,pf_net_dense/cg_id_0/Reshape_1
SCATTER_ND,1108,655360.0,0.0,0.0,0.0,0.0,1.8102516,-127,pf_net_dense/cg_id_0/ScatterNd
ADD,1112,655360.0,19.931538,-1.3315316,86.71367,399.03925,189.59663,-128,pf_net_dense/add
MEAN,1116,2560.0,0.24719533,-2053.5557,2053.5627,4217092.5,6.186891,-128,pf_net_dense/cg_id_1/cg_id_1_layernorm1/moments/mean
SQUARED_DIFFERENCE,1120,655360.0,1003793.4,-2194179.2,3981648.0,5822027400000.0,8577549.0,-128,pf_net_dense/cg_id_1/cg_id_1_layernorm1/moments/SquaredDifference
MEAN,1124,2560.0,11484.812,-109876160.0,109909330.0,1.2072771e+16,88129.73,-128,pf_net_dense/cg_id_1/cg_id_1_layernorm1/moments/variance
ADD,1128,2560.0,0.0,0.0,0.0,0.0,88129.73,-128,pf_net_dense/cg_id_1/cg_id_1_layernorm1/batchnorm/add
RSQRT,1132,2560.0,2.910383e-11,-0.00021094477,0.00021094475,4.4497682e-08,0.0015432679,-128,pf_net_dense/cg_id_1/cg_id_1_layernorm1/batchnorm/Rsqrt
MUL,1136,655360.0,0.0,0.0,0.0,0.0,0.0031400989,-128,pf_net_dense/cg_id_1/cg_id_1_layernorm1/batchnorm/mul
MUL,1140,655360.0,0.0,0.0,0.0,0.0,0.039506238,-126,pf_net_dense/cg_id_1/cg_id_1_layernorm1/batchnorm/mul_1
MUL,1144,655360.0,0.0,0.0,0.0,0.0,0.005251235,-128,pf_net_dense/cg_id_1/cg_id_1_layernorm1/batchnorm/mul_2
SUB,1148,655360.0,0.10282284,-0.07239108,0.44542155,0.015812995,0.007412925,106,pf_net_dense/cg_id_1/cg_id_1_layernorm1/batchnorm/sub
ADD,1152,655360.0,0.009850746,0.004744717,0.020178616,0.000119549535,0.041319847,-89,pf_net_dense/cg_id_1/cg_id_1_layernorm1/batchnorm/add_1
RESHAPE,1163,655360.0,0.0,0.0,0.0,0.0,0.041319847,-89,pf_net_dense/cg_id_1/cg_id_1_ffn_dist/cg_id_1_ffn_dist_dense_0/Tensordot/Reshape
FULLY_CONNECTED,1167,163840.0,0.07738696,0.0011809787,0.1590889,0.005990134,0.27747813,-17,pf_net_dense/cg_id_1/cg_id_1_ffn_dist/cg_id_1_ffn_dist_dense_0/Tensordot/MatMul1
RESHAPE,1171,163840.0,0.0,0.0,0.0,0.0,0.27747813,-17,pf_net_dense/cg_id_1/cg_id_1_ffn_dist/cg_id_1_ffn_dist_dense_0/Tensordot
ADD,1175,163840.0,0.07914347,-0.014394882,0.13932276,0.006470903,0.28115812,-16,pf_net_dense/cg_id_1/cg_id_1_ffn_dist/cg_id_1_ffn_dist_dense_0/BiasAdd
RESHAPE,1188,163840.0,0.04912469,-0.010067822,0.07916214,0.0025145966,0.16212691,-122,pf_net_dense/cg_id_1/cg_id_1_ffn_dist/cg_id_1_ffn_dist_dense_1/Tensordot/Reshape
FULLY_CONNECTED,1192,163840.0,0.13758662,-0.005350099,0.26846972,0.018958706,0.4983706,-18,pf_net_dense/cg_id_1/cg_id_1_ffn_dist/cg_id_1_ffn_dist_dense_1/Tensordot/MatMul1
RESHAPE,1196,163840.0,0.0,0.0,0.0,0.0,0.4983706,-18,pf_net_dense/cg_id_1/cg_id_1_ffn_dist/cg_id_1_ffn_dist_dense_1/Tensordot
ADD,1200,163840.0,0.13489343,0.008025533,0.23237896,0.018260654,0.4951201,-18,pf_net_dense/cg_id_1/cg_id_1_ffn_dist/cg_id_1_ffn_dist_dense_1/BiasAdd
RESHAPE,1213,163840.0,0.0915571,0.009099903,0.14182658,0.008465508,0.28479987,-124,pf_net_dense/cg_id_1/cg_id_1_ffn_dist/cg_id_1_ffn_dist_dense_2/Tensordot/Reshape
FULLY_CONNECTED,1217,163840.0,0.25574777,0.03859382,0.5477581,0.06689643,0.81099534,-6,pf_net_dense/cg_id_1/cg_id_1_ffn_dist/cg_id_1_ffn_dist_dense_2/Tensordot/MatMul1
